scorer,,,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus
bodyparts,,,head,head,leg1,leg1,leg2,leg2,leg3,leg3,leg4,leg4,leg5,leg5,leg6,leg6,centerthorax,centerthorax
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ant_gait3,img0543.png,389.25830157866085,320.58562096586047,372.4607278948596,320.58562096586047,333.6163387510692,319.53577261062287,318.9184617777431,223.99957228400336,419.70390388055057,134.76246208880934,475.3458667081421,225.04942063924096,422.85344894626326,322.6853176763356,389.25830157866085,271.24274826969435
labeled-data,ant_gait3,img0551.png,394.50754335484874,320.58562096586047,370.3610311843844,325.83486274204836,333.6163387510692,322.6853176763356,321.0181584882183,223.99957228400336,421.80360059102566,131.6129170230966,476.3957150633797,225.04942063924096,418.65405552531297,318.48592425538527,388.20845322342325,272.29259662493195
labeled-data,ant_gait3,img0564.png,381.90936309199776,322.6853176763356,369.3111828291468,326.8847110972859,327.3172486196438,322.6853176763356,312.61937164631775,226.09926899447856,413.4048137491251,135.81231044404694,467.99692822147904,227.1491173497161,406.055875262462,300.63850221634647,381.90936309199776,271.24274826969435
labeled-data,ant_gait3,img0565.png,378.7598180262851,322.6853176763356,370.3610311843844,325.83486274204836,322.0680068434559,323.73516603157316,312.61937164631775,230.29866241542885,410.2552686834123,146.31079399642272,465.89723151100395,227.1491173497161,403.9561785519869,295.38926044015864,381.90936309199765,273.3424449801695
labeled-data,ant_gait3,img0570.png,370.3610311843844,325.83486274204836,356.7130025662959,316.3862275449101,318.9184617777431,323.73516603157316,303.17073644917946,229.24881406019125,403.9561785519869,142.11140057547237,460.64798973481606,228.1989657049537,403.9561785519869,298.5388055058713,376.6601213158099,274.3922933354071
labeled-data,ant_gait3,img0581.png,343.06497394820747,324.78501438681076,329.4169453301189,316.3862275449101,290.5725561863286,328.98440780776104,273.77498250252734,228.1989657049537,377.7099696710475,143.16124893070997,433.35193249863903,229.24881406019125,369.3111828291468,289.09017030873315,347.26436736915775,278.5916867563574
labeled-data,ant_gait3,img0596.png,347.26436736915775,326.8847110972859,331.5166420405941,313.23668247919744,292.6722528968037,325.83486274204836,273.77498250252734,226.09926899447856,376.6601213158099,138.9618555097597,430.20238743292634,226.09926899447856,373.5105762500972,302.73819892682167,344.11482230344495,276.49199004588223
labeled-data,ant_gait3,img0600.png,343.06497394820747,327.9345594525235,331.5166420405941,316.3862275449101,289.522707831091,325.83486274204836,272.72513414728974,227.1491173497161,374.5604246053347,141.06155222023483,430.20238743292634,228.1989657049537,392.40784664437354,286.990473598258,346.21451901392015,275.44214169064463
labeled-data,ant_gait3,img0607.png,345.16467065868255,332.1339528734738,339.91542888249467,320.58562096586047,290.5725561863286,323.73516603157316,271.67528579205225,227.1491173497161,381.90936309199776,146.31079399642272,430.20238743292634,228.1989657049537,387.15860486818565,285.9406252430204,347.26436736915775,277.54183840111983
labeled-data,ant_gait3,img0617.png,348.31421572439535,328.98440780776104,344.11482230344495,313.23668247919744,289.522707831091,323.73516603157316,273.77498250252734,226.09926899447856,374.5604246053347,142.11140057547237,428.10269072245114,232.398359125904,392.40784664437354,292.2397153744459,345.16467065868255,277.5418384011198
labeled-data,ant_gait3,img0621.png,350.41391243487044,327.9345594525235,344.11482230344495,311.13698576872224,289.522707831091,324.78501438681076,273.77498250252734,227.1491173497161,374.5604246053347,138.9618555097597,433.35193249863903,227.1491173497161,392.40784664437354,293.28956372968344,347.26436736915775,276.49199004588223
labeled-data,ant_gait3,img0625.png,354.6133058558207,325.83486274204836,342.01512559296987,318.48592425538527,290.5725561863286,324.78501438681076,272.72513414728974,227.1491173497161,375.6102729605723,140.01170386499723,433.35193249863903,226.09926899447856,393.45769499961114,296.4391087953962,348.31421572439535,273.3424449801695
labeled-data,ant_gait3,img0629.png,357.7628509215335,328.98440780776104,325.2175519091686,322.6853176763356,289.522707831091,326.8847110972859,275.87467921300254,228.1989657049537,376.6601213158099,138.9618555097597,433.35193249863903,226.09926899447856,391.35799828913594,296.4391087953962,347.26436736915775,274.3922933354071
labeled-data,ant_gait3,img0633.png,357.7628509215335,324.78501438681076,317.86861342250563,324.78501438681076,289.522707831091,323.73516603157316,274.82483085776494,228.1989657049537,374.5604246053347,142.11140057547237,431.25223578816383,229.24881406019125,393.45769499961114,301.68835057158407,350.41391243487044,278.5916867563574
labeled-data,ant_gait3,img0635.png,360.9123959872462,326.8847110972859,316.81876506726803,324.78501438681076,291.6224045415662,322.6853176763356,275.87467921300254,226.09926899447856,375.6102729605723,140.01170386499723,429.15253907768874,229.24881406019125,398.706936775799,302.73819892682167,349.36406407963284,276.49199004588223
