scorer,,,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus
bodyparts,,,head,head,leg1,leg1,leg2,leg2,leg3,leg3,leg4,leg4,leg5,leg5,leg6,leg6,centerthorax,centerthorax
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ant_gait5,img0552.png,331.5166420405941,309.0372890582471,326.2674002644062,294.33941208492104,300.02119138346677,221.89987557352822,372.4607278948596,131.6129170230966,491.0935920367058,241.84699432304217,449.0996578272027,321.635469321098,356.7130025662959,325.83486274204836,370.3610311843844,279.641535111595
labeled-data,ant_gait5,img0564.png,331.5166420405941,310.0871374134847,329.4169453301189,292.2397153744459,301.07103973870437,223.99957228400336,370.3610311843844,131.6129170230966,491.0935920367058,240.79714596780462,451.1993545376778,321.635469321098,374.5604246053347,324.78501438681076,370.3610311843844,278.5916867563574
labeled-data,ant_gait5,img0582.png,329.4169453301189,316.3862275449101,323.1178551986934,304.8378956372968,301.07103973870437,226.09926899447856,371.410879539622,135.81231044404694,490.0437436814682,242.89684267827977,451.1993545376778,324.78501438681076,386.10875651294805,330.03425616299864,371.410879539622,280.6913834668325
labeled-data,ant_gait5,img0590.png,332.5664903958317,313.23668247919744,318.9184617777431,311.13698576872224,282.1737693444279,237.64760090209188,372.4607278948596,135.81231044404694,490.0437436814682,247.09623609923005,451.1993545376778,323.73516603157316,378.7598180262851,346.83182984679985,368.2613344739093,283.84092853254526
labeled-data,ant_gait5,img0594.png,335.7160354615444,311.13698576872224,318.9184617777431,311.13698576872224,292.6722528968037,256.5448712963683,369.3111828291468,136.8621587992845,492.1434403919433,247.09623609923005,452.2492028929154,324.78501438681076,378.7598180262851,348.93152655727505,370.3610311843844,283.84092853254526
labeled-data,ant_gait5,img0598.png,334.6661871063068,311.13698576872224,321.0181584882183,312.18683412395984,295.8217979625165,260.7442647173186,371.410879539622,135.81231044404694,491.0935920367058,248.14608445446765,450.1495061824403,327.9345594525235,371.410879539622,351.0312232677502,369.3111828291468,282.79108017730766
labeled-data,ant_gait5,img0602.png,330.4667936853565,318.48592425538527,316.81876506726803,314.286530834435,300.02119138346677,263.8938097830313,370.3610311843844,140.01170386499723,491.0935920367058,248.14608445446765,449.0996578272027,327.9345594525235,356.7130025662959,348.93152655727494,366.1616377634341,286.99047359825795
labeled-data,ant_gait5,img0604.png,330.4667936853565,317.4360759001477,316.81876506726803,318.48592425538527,297.92149467299157,267.04335484874406,368.2613344739093,141.06155222023483,488.9938953262306,253.39532623065554,448.0498094719651,330.03425616299864,349.36406407963284,345.7819814915623,366.1616377634341,288.04032195349555
labeled-data,ant_gait5,img0607.png,326.2674002644062,324.78501438681076,313.66922000155523,321.635469321098,291.6224045415662,271.24274826969435,366.1616377634341,146.31079399642272,486.8941986157554,254.44517458589314,445.9501127614899,335.28349793918653,340.96527723773227,353.13091997822534,361.9622443424838,292.2397153744459
labeled-data,ant_gait5,img0618.png,310.51967493584254,336.33334629442413,297.92149467299157,334.23364958394893,281.1239209891904,283.84092853254526,351.46376079010804,156.8092775487985,472.1963216424293,267.04335484874406,431.25223578816383,347.88167820203745,339.91542888249467,357.3303133991756,346.21451901392015,306.93759234777195
labeled-data,ant_gait5,img0627.png,303.17073644917946,327.9345594525235,292.6722528968037,333.1838012287114,273.77498250252734,281.7412318220701,347.26436736915775,155.7594291935609,464.84738315576635,264.94365813826886,422.85344894626326,342.63243642584956,337.8157321720196,349.9813749125126,339.91542888249467,304.8378956372968
labeled-data,ant_gait5,img0632.png,293.7221012520413,328.98440780776104,289.522707831091,333.1838012287114,273.77498250252734,280.6913834668325,344.11482230344495,154.7095808383233,463.79753480052875,263.8938097830313,423.90329730150086,344.7321331363247,334.6661871063068,347.88167820203745,335.7160354615444,299.5886538611089
labeled-data,ant_gait5,img0634.png,296.8716463177541,323.73516603157316,288.4728594758534,333.1838012287114,268.52574072633945,277.5418384011198,342.01512559296987,151.5600357726106,460.64798973481606,264.94365813826886,419.70390388055057,342.63243642584956,335.7160354615444,345.7819814915623,335.7160354615444,301.68835057158407
labeled-data,ant_gait5,img0642.png,287.4230111206158,330.03425616299864,269.57558908157705,314.286530834435,261.1768022396765,273.3424449801695,335.7160354615444,149.46033906213546,455.3987479586282,258.64456800684343,413.4048137491251,339.4828913601368,339.91542888249467,340.5327397153744,330.4667936853565,300.63850221634647
labeled-data,ant_gait5,img0650.png,283.2236176996655,331.08410451823624,249.6284703320631,296.4391087953962,262.22665059491396,273.3424449801695,333.6163387510692,147.36064235166026,453.299051248153,260.7442647173186,412.3549653938875,338.4330430048993,340.96527723773227,339.4828913601368,327.3172486196438,296.4391087953962
