scorer,,,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus,ryanbonus
bodyparts,,,head,head,leg1,leg1,leg2,leg2,leg3,leg3,leg4,leg4,leg5,leg5,leg6,leg6,centerthorax,centerthorax
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ant_gait2,img0545.png,379.80966638152256,314.286530834435,331.5166420405941,322.6853176763356,297.92149467299157,295.38926044015864,298.97134302822917,167.30776110117426,393.45769499961114,158.90897425927363,415.50451045960017,227.1491173497161,391.35799828913594,291.1898670192083,363.0120926977214,265.99350649350646
labeled-data,ant_gait2,img0549.png,384.00905980247296,318.48592425538527,343.06497394820747,337.3831946496617,301.07103973870437,299.5886538611089,298.97134302822917,170.45730616688695,397.6570884205614,176.75639629831244,417.60420717007537,227.1491173497161,392.40784664437354,302.73819892682167,367.2114861186717,267.04335484874406
labeled-data,ant_gait2,img0556.png,380.85951473676016,327.9345594525235,356.7130025662959,365.72910024107625,294.7719496072789,297.4889571506338,296.8716463177541,169.4074578116494,400.8066334862741,195.65366669258879,414.4546621043627,227.1491173497161,388.20845322342325,311.13698576872224,365.1117894081965,277.5418384011198
labeled-data,ant_gait2,img0563.png,376.6601213158099,334.233649583949,354.6133058558207,378.32728050392717,288.4728594758534,293.28956372968344,285.3233144101407,170.45730616688695,389.25830157866085,203.00260517925187,400.8066334862741,221.89987557352822,379.80966638152256,315.3363791896726,351.46376079010804,279.641535111595
labeled-data,ant_gait2,img0565.png,373.5105762500972,331.08410451823624,,,,,,,,,,,,,,
labeled-data,ant_gait2,img0576.png,370.3610311843844,338.4330430048993,346.21451901392015,372.02819037250174,277.9743759234776,292.2397153744459,279.0242242787152,167.30776110117426,380.85951473676016,203.00260517925187,403.9561785519869,218.75033050781548,372.4607278948596,315.3363791896726,349.36406407963284,281.7412318220701
labeled-data,ant_gait2,img0578.png,367.2114861186717,340.5327397153744,346.21451901392015,372.02819037250174,280.0740726339528,291.1898670192083,280.0740726339528,161.00867096974878,379.80966638152256,200.90290846877667,415.50451045960017,241.84699432304217,375.6102729605724,313.23668247919744,349.36406407963284,286.990473598258
labeled-data,ant_gait2,img0585.png,363.0120926977214,338.4330430048993,345.16467065868255,372.02819037250174,279.0242242787152,284.89077688778286,279.0242242787152,161.00867096974878,379.80966638152256,197.753363403064,420.75375223578806,288.04032195349555,369.3111828291468,304.8378956372968,345.16467065868255,286.990473598258
labeled-data,ant_gait2,img0600.png,354.6133058558207,336.33334629442413,327.3172486196438,326.8847110972859,279.0242242787152,276.49199004588223,276.92452756824014,149.46033906213546,379.80966638152256,186.2050314954506,402.9063301967493,291.1898670192083,367.2114861186717,296.4391087953962,343.06497394820747,285.9406252430204
labeled-data,ant_gait2,img0606.png,356.7130025662959,331.08410451823624,325.2175519091686,317.4360759001477,282.1737693444279,271.24274826969435,279.0242242787152,144.21109728594757,381.90936309199776,182.00563807450033,401.8564818415117,284.89077688778286,369.3111828291468,293.28956372968344,342.01512559296987,278.5916867563574
labeled-data,ant_gait2,img0610.png,352.51360914534564,328.98440780776104,329.4169453301189,316.3862275449101,283.2236176996655,262.8439614277937,280.0740726339528,138.9618555097597,381.90936309199776,175.70654794307484,407.1057236176996,277.5418384011198,371.410879539622,295.38926044015864,343.06497394820747,276.49199004588223
labeled-data,ant_gait2,img0615.png,355.6631542110583,325.83486274204836,330.4667936853566,312.1868341239599,283.2236176996655,258.64456800684343,284.2734660549031,131.6129170230966,385.05890815771045,170.45730616688695,409.2054203281748,273.3424449801695,387.15860486818565,322.6853176763356,346.21451901392015,275.44214169064463
labeled-data,ant_gait2,img0627.png,360.9123959872462,319.53577261062287,344.11482230344495,302.73819892682167,302.12088809394197,243.94669103351737,305.27043315965466,136.8621587992845,401.8564818415117,155.7594291935609,422.85344894626326,258.64456800684343,394.50754335484874,356.2804650439381,361.9622443424838,265.99350649350646
labeled-data,ant_gait2,img0629.png,360.9123959872462,322.6853176763356,343.06497394820747,300.63850221634647,306.32028151489226,243.94669103351737,307.37012987012986,143.16124893070997,403.9561785519869,155.7594291935609,426.00299401197594,257.5947196516058,393.45769499961114,356.2804650439381,358.8126992767711,268.0932032039816
labeled-data,ant_gait2,img0632.png,361.9622443424838,323.73516603157316,342.01512559296987,301.68835057158407,304.22058480441706,239.74729761256702,311.56952329108015,152.60988412784815,405.0060269072244,157.85912590403603,427.05284236721354,258.64456800684343,391.35799828913594,349.9813749125126,359.8625476320086,264.94365813826886
labeled-data,ant_gait2,img0638.png,357.7628509215335,319.53577261062287,337.8157321720196,299.5886538611089,308.41997822536734,242.89684267827982,310.51967493584254,169.4074578116494,406.055875262462,152.60988412784815,429.15253907768874,255.49502294113069,392.40784664437354,347.88167820203745,361.9622443424838,273.3424449801695
